006.Export Value per Exporter: Mean,011.Export Value per Entrant: Mean,016.Export Value per Exiter: Mean,021.Export Value per Surviving Entrant: Mean,026.Export Value per Incumbent: Mean,031.Growth of Incumbents: Mean,036.Growth of Surviving Entrants: Mean,045.Number of HS6 Products per Exporter: Mean,048.Number of Destinations per Exporter: Mean,051.Number of Exporters per HS6 Product: Mean,054.Number of Exporters per Destination: Mean,057.Destination Entry Rate of Incumbents: Mean,060.Destination Entry Rate of Surviving Entrants: Mean,063.Share of New Destinations in TEV of Incumbents: Mean,066.Share of New Destinations in TEV of Surviving Entrants: Mean,069.Destination Exit Rate of Incumbents: Mean,072.Destination Survival Rate of 2-year Incumbents: Mean,081.Product Entry Rate of Incumbents: Mean,084.Product Entry Rate of Surviving Entrants: Mean,087.Share of New Products in TEV of Incumbents: Mean,090.Share of New Products in TEV of Surviving Entrants: Mean,093.Product Exit Rate of Incumbents: Mean,096.Product Survival Rate of 2-year Incumbents: Mean,001.Number of Exporters,002.Number of Entrants,003.Number of Exiters,004.Number of Surviving Entrants,005.Number of Incumbents,041.Herfindahl-Hirschman Index,075.Firm Entry Rate,076.Firm Exit Rate,077.Entrant 1st Year Survival Rate,078.Share of Entrants in TEV (Total Export Value),079.Entrant 2nd Year Survival Rate,080.Entrant 3rd Year Survival Rate,Country Name,Industry Name,Year
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",1997 [YR1997]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",1998 [YR1998]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",1999 [YR1999]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2000 [YR2000]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2001 [YR2001]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2002 [YR2002]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2003 [YR2003]
363840,..,..,..,..,..,..,1.808823586,1.338235259,1.952380896,6.5,..,..,..,..,..,..,..,..,..,..,..,..,68,..,..,..,..,0.220106751,..,..,..,..,..,..,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2004 [YR2004]
411152.0313,59407.07813,68082.80469,175141.1094,702597.875,0.147267878,-0.000696659,1.703125,1.390625,2.180000067,4.944444656,0.19319728,..,0.125057623,..,0.171428576,0.357142866,0.36027211,..,0.238381252,..,0.316598654,0.536458313,64,29,33,8,35,0.206850797,0.453125,0.485294104,0.275862068,0.065471724,0.172413796,0.137931034,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2005 [YR2005]
537038.875,61172.12891,39743.17578,104246.5156,904136.0625,-0.257395416,1.36347425,1.822580695,1.370967746,2.25999999,4.722222328,0.180952385,0.229166657,0.124750368,0.163296819,0.200680271,0.460000008,0.22217688,0.117857143,0.174454942,0.128499255,0.231700689,0.568181813,62,27,29,11,35,0.23308067,0.435483873,0.453125,0.407407403,0.049604371,0.185185179,0.148148149,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2006 [YR2006]
649134.4375,26851.33594,71718.03906,32015.64648,1090754.75,0.527513683,1.484821916,1.679245234,1.377358437,1.854166627,4.866666794,0.215053767,0.287878782,0.180101052,0.281162709,0.260752678,0.5,0.309677422,0.348484844,0.282677174,0.273269653,0.354531497,0.75,53,22,31,6,31,0.196648538,0.415094346,0.5,0.272727281,0.017170304,0.227272734,0.227272734,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2007 [YR2007]
733935.0625,87144.92969,32557.10156,186194.5625,1265227,0.189711124,0.968407154,2.117647171,1.549019575,1.963636398,4.9375,0.210714296,0.194444448,0.130780756,0.160894454,0.116071433,0.75,0.221428573,0.194444448,0.088378243,0.054143976,0.170833334,0.458333343,51,23,25,8,28,0.16385071,0.450980395,0.471698105,0.347826093,0.053547863,0.260869563,0.217391297,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2008 [YR2008]
784544,229489.3438,115557.6406,475427.4063,1188220.125,0.06123459,-0.467851162,2.280701637,1.631578922,2.131147623,4.428571224,0.179040402,0.1875,0.098842278,0.125104427,0.154545456,0.527777791,0.248370066,0.208333343,0.141547799,0.169798821,0.23863636,0.371794879,57,24,18,11,33,0.136647046,0.421052635,0.352941185,0.458333343,0.12316338,0.333333343,0.291666657,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2009 [YR2009]
643642.0625,88098.21094,26616.10352,144968.0469,1074188.5,-0.018100476,1.086768866,1.915493011,1.394366145,2.266666651,5.210526466,0.076547623,0.045454547,0.04972022,0.084349819,0.129999995,0.476190478,0.227976188,0.393939406,0.131962374,0.364022195,0.282897741,0.328205138,71,31,17,10,40,0.140996858,0.436619729,0.298245609,0.322580636,0.059762131,0.064516127,..,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2010 [YR2010]
749444.1875,41991.76953,102780.1484,93328.94531,1338987.875,0.689021349,-0.513533771,1.935064912,1.337662339,2.25757575,5.722222328,0.063492067,0.050000001,0.047032408,0.034655847,0.080272108,0.5,0.24098058,0.375,0.17433551,0.356747806,0.224773243,0.198717952,77,35,29,12,42,0.124639519,0.454545468,0.408450693,0.342857152,0.02546843,..,..,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2011 [YR2011]
814851.5,38061.35156,47178.5,..,1369701.625,-0.37419793,..,1.805555582,1.333333373,2.096774101,4.800000191,0.073015876,0,0.031783387,0,0.061507937,..,0.252267569,0.196428567,0.18363224,0.128747106,0.297837079,..,72,30,35,..,42,0.103144206,0.416666657,0.454545468,..,0.019462315,..,..,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2012 [YR2012]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2013 [YR2013]
