unicef_region,country_iso3,country,vaccine,year,immunization_coverage,antigen_family,gdp_per_capita_usd,health_exp_pct_gdp,population_total,gni_per_capita_usd,gavi_eligible,pharma_tariff_rate,reporter_flag,oop_health_exp_pct,tariff_x_oop
ECAR,ALB,Albania,PCV3,2023,85,PCV,9730.869219,7.05240345,2414095,8730,0,0.5149545459940653,1,48.27462769,0.24859238985136486
MENA,DZA,Algeria,PCV3,2023,89,PCV,5370.477235,4.35082531,46164219,4950,0,8.810044862461389,1,45.00216675,3.9647110797546827
LACR,ARG,Argentina,PCV3,2023,71,PCV,14261.84657,10.2695179,45538401,12920,0,7.117608794412783,1,24.46961784,1.7416516713390393
ECAR,ARM,Armenia,PCV3,2023,94,PCV,8159.08721,9.32119179,2964300,6850,0,3.2094787374520153,1,80.47196198,2.5827305093585697
Non-programme,AUS,Australia,PCV3,2023,95,PCV,65058.37731,10.39852047,26659922,63320,0,1.3823898003559114,1,15.84897614,0.21909462962020204
ECAR,AZE,Azerbaijan,PCV3,2023,52,PCV,7133.02838,4.27113533,10153958,6680,0,6.838534343288035,1,64.63206482,4.419885949491884
MENA,BHR,Bahrain,PCV3,2023,98,PCV,29290.12842,3.99562383,1577059,28460,0,3.228203960846802,1,28.65578461,0.9250671737917483
Non-programme,BEL,Belgium,PCV3,2023,94,PCV,55291.47545,10.80371571,11779946,55520,0,1.1405311481580527,1,21.50983047,0.24532631642634167
LACR,BOL,Bolivia (Plurinational State of),PCV3,2023,68,PCV,4274.708205,6.91864729,12244159,4230,0,5.380005322592263,1,27.31554413,1.4695777280890383
ESAR,BWA,Botswana,PCV3,2023,86,PCV,7826.353765,6.25574684,2480244,8360,0,3.8792194485895006,1,4.25866175,0.16520283485564197
LACR,BRA,Brazil,PCV3,2023,74,PCV,10377.58977,9.73092747,211140729,9310,0,7.454407886511722,1,26.23070717,1.9553439039682754
ECAR,BGR,Bulgaria,PCV3,2023,87,PCV,15853.20864,7.91853094,6446596,14240,0,0.6288785598641349,1,35.50430679,0.22327897323069623
EAPR,KHM,Cambodia,PCV3,2023,82,PCV,2429.748535,4.61706829,17423880,2390,0,6.733469444620557,1,60.60118866,4.080562521497958
WCAR,CMR,Cameroon,PCV3,2023,75,PCV,1720.475102,4.5545516,28372687,1680,0,12.820811028964725,1,67.65119171,8.673431448
Non-programme,CAN,Canada,PCV3,2023,85,PCV,54220.3285,11.18692875,40083484,54660,0,1.3837138797223811,1,15.20306873,0.21036697216074313
LACR,CHL,Chile,PCV3,2023,93,PCV,17067.03648,10.17470455,19658835,15950,0,0.7074553356083475,1,34.59329987,0.24473214569331056
LACR,COL,Colombia,PCV3,2023,90,PCV,7000.836605,8.15838146,52321152,6720,0,2.5815432011114234,1,14.63377953,0.3777773405223502
LACR,CRI,Costa Rica,PCV3,2023,99,PCV,16942.02681,6.8663702,5105525,14260,0,1.4924207518341044,1,24.12618256,0.36006415515082063
ECAR,HRV,Croatia,PCV3,2023,90,PCV,22184.22793,7.14699411,3859686,20750,0,0.5031250705734118,1,9.37740326,0.047180067
Non-programme,CYP,Cyprus,PCV3,2023,74,PCV,36623.69141,8.11912918,1344976,32340,0,0.6466651322143865,1,17.9429245,0.11603063644105255
Non-programme,DNK,Denmark,PCV3,2023,97,PCV,68043.5467,9.5572958,5946952,72080,0,0.68683427,1,13.97692299,0.095998297
LACR,DOM,Dominican Republic,PCV3,2023,86,PCV,10630.43174,4.59880495,11331265,9700,0,3.425993573254095,1,25.05566978,0.8584056363985684
LACR,ECU,Ecuador,PCV3,2023,71,PCV,6737.847484,7.56167889,17980083,6590,0,3.0408379343080245,1,30.88848877,0.9392688838526341
LACR,SLV,El Salvador,PCV3,2023,99,PCV,5365.444914,9.28738594,6309624,4950,0,1.9188670545408162,1,32.4943924,0.6235241903368148
EAPR,FJI,Fiji,PCV3,2023,96,PCV,5926.205864,3.61524153,924145,5670,0,9.516107053,1,8.31420898,0.7911890271125759
Non-programme,FIN,Finland,PCV3,2023,87,PCV,52834.29168,10.47389507,5583911,52990,0,1.011772810114535,1,14.09493542,0.14260872418276294
Non-programme,FRA,France,PCV3,2023,96,PCV,44700.13842,11.51974583,68372286,45770,0,1.2424214225941344,1,9.26032639,0.11505227887149803
ECAR,GEO,Georgia,PCV3,2023,86,PCV,8283.669607,6.85758877,3715483,6710,0,0.26565180102915953,1,58.75926208,0.15609503798696397
Non-programme,DEU,Germany,PCV3,2023,74,PCV,54776.76682,11.74428654,83287273,55420,0,1.3040107735751743,1,11.05290699,0.1441310979428435
WCAR,GHA,Ghana,PCV3,2023,96,PCV,2383.904105,2.94686937,33787914,2280,0,9.492825716042683,1,26.67723274,2.5324232098712782
ECAR,GRC,Greece,PCV3,2023,90,PCV,23343.7104,8.39367008,10407351,22300,0,0.5959241851638557,1,34.30307007,0.20442029080083393
LACR,GTM,Guatemala,PCV3,2023,87,PCV,5758.327608,6.80241346,18124838,5470,0,1.4859069573893653,1,57.18184662,0.8496690372902956
LACR,HND,Honduras,PCV3,2023,73,PCV,3227.457625,7.70976162,10644851,2880,0,2.4146742787941387,1,53.06166458,1.281266367
Non-programme,HUN,Hungary,PCV3,2023,99,PCV,22230.62779,6.36868954,9592186,19840,0,0.7477910993768412,1,23.05996895,0.1724403953271632
Non-programme,ISL,Iceland,PCV3,2023,92,PCV,82138.7893,8.70510101,385663,82630,0,0.5436643853473582,1,14.68500805,0.079837159
ROSA,IND,India,PCV3,2023,83,PCV,2530.120313,3.33944035,1438069596,2580,0,7.114921873,1,43.88510513,3.1223909440084787
EAPR,IDN,Indonesia,PCV3,2023,31,PCV,4876.307745,2.70239949,281190067,4810,0,3.2478870021218937,1,31.0836544,1.009561971
Non-programme,IRL,Ireland,PCV3,2023,83,PCV,106818.9171,6.57538509,5311538,79280,0,1.2538745506076112,1,11.29947281,0.14168121391741673
Non-programme,ISR,Israel,PCV3,2023,94,PCV,52003.72007,7.09822369,9849000,54280,0,0.4376836725353078,1,20.48583984,0.089663176
Non-programme,ITA,Italy,PCV3,2023,92,PCV,39277.08388,8.40559483,58984216,38770,0,0.968475191,1,23.64643097,0.22900981752326033
Non-programme,JPN,Japan,PCV3,2023,97,PCV,33836.17563,10.73979473,124516650,39360,0,1.5241726389126138,1,12.23568153,0.18649291006474428
ECAR,KAZ,Kazakhstan,PCV3,2023,98,PCV,12879.42753,3.76701546,20330104,10690,0,4.216581910615115,1,27.64227867,1.1655593220810403
EAPR,KIR,Kiribati,PCV3,2023,91,PCV,2177.701258,10.94525623,132530,3800,0,17.266679606864276,1,2.9085722,0.5022138429083236
MENA,KWT,Kuwait,PCV3,2023,99,PCV,34075.84901,4.96311998,4853420,42030,0,3.508299244854993,1,10.00349617,0.35095258059120815
ECAR,KGZ,Kyrgyzstan,PCV3,2023,91,PCV,2138.222102,4.50344467,7099750,1840,0,3.8334887863980267,1,42.26472855,1.6202136295658152
EAPR,LAO,Lao People's Democratic Republic,PCV3,2023,67,PCV,2066.949798,1.32651615,7664993,2110,0,1.6226746809345793,1,44.84078598,0.7276200808295227
Non-programme,LVA,Latvia,PCV3,2023,95,PCV,22710.26375,7.27783823,1883710,21000,0,0.6383164945819219,1,35.05759811,0.22377843134037007
MENA,LBN,Lebanon,PCV3,2023,67,PCV,3477.724898,5.57497263,5773493,3700,0,2.5837080689205423,1,29.70126343,0.7673939398122562
Non-programme,LTU,Lithuania,PCV3,2023,82,PCV,27786.00578,7.31801939,2871585,25460,0,0.6177633936923964,1,31.02016449,0.19163122088238765
Non-programme,LUX,Luxembourg,PCV3,2023,97,PCV,133230.6192,5.78777981,666430,88480,0,0.6898494322645855,1,8.77390862,0.060526759
EAPR,MYS,Malaysia,PCV3,2023,95,PCV,11386.03956,3.95760036,35126298,11700,0,1.4694584086753388,1,37.09352112,0.5450738651716027
Non-programme,MLT,Malta,PCV3,2023,71,PCV,40905.80596,8.84301376,552747,35720,0,0.740445762,1,30.92565918,0.22898773272098247
WCAR,MRT,Mauritania,PCV3,2023,90,PCV,2135.781876,4.34333467,5022441,2140,0,7.777472537087911,1,43.7736702,3.4044851782804346
Non-programme,MUS,Mauritius,PCV3,2023,91,PCV,11269.96845,5.56544495,1248647,12570,0,1.168068342938412,1,45.2427063,0.5284657297789025
LACR,MEX,Mexico,PCV3,2023,78,PCV,13860.95978,5.50398684,129739759,12020,0,1.1155175973927363,1,41.23572922,0.4599918158623186
EAPR,MNG,Mongolia,PCV3,2023,96,PCV,5838.631081,6.07207489,3481145,4870,0,5,1,48.79919434,2.439959717
MENA,MAR,Morocco,PCV3,2023,81,PCV,3813.726074,6.06396198,37712505,3780,0,1.748697530169071,1,37.25432968,0.6514655429952032
