WHO_REGION,ISO_code,Cname,VaccineCode,Vaccine_Desc,Schedule,Entire_Part,Comment
EMR,AFG,Afghanistan,BCG,Bacille Calmette-Guérin vaccine,birth;,entire,
EMR,AFG,Afghanistan,DTwPHibHepB,Diphtheria and Tetanus and Pertussis and Haemophilus influenzae and Hepatitis B vaccine,"6, 10, 14 weeks;",entire,
EMR,AFG,Afghanistan,HepB_Pediatric,Hepatitis B pediatric dose vaccine,birth;,entire,
EMR,AFG,Afghanistan,HPV,Human Papillomavirus vaccine,,,Planned introduction in November 2021
EMR,AFG,Afghanistan,IPV,Inactivated polio vaccine,14 weeks;,entire,
EMR,AFG,Afghanistan,Measles,Measles vaccine,"9, 18 months;",entire,
EMR,AFG,Afghanistan,OPV,Oral polio vaccine,"birth; 6, 10, 14 weeks; 9 months;",entire,
EMR,AFG,Afghanistan,Pneumo_conj,Pneumococcal conjugate vaccine,"6, 10, 14 weeks;",entire,
EMR,AFG,Afghanistan,Rotavirus,Rotavirus vaccine,"6, 10 weeks;",entire,
EMR,AFG,Afghanistan,Td,Tetanus and diphtheria toxoid for older children / adults vaccube,"1st contact; +1, +6 months, +1, +1 year;",entire,15-45 years (WCBA)
EUR,ALB,Albania,BCG,Bacille Calmette-Guérin vaccine,birth;,entire,
EUR,ALB,Albania,DT,Tetanus and diphtheria toxoid childrens' dose,6 years;,entire,
EUR,ALB,Albania,DTwP,Diphtheria and tetanus toxoid with whole cell pertussis vaccine,2 years;,entire,
EUR,ALB,Albania,DTwPHibHepB,Diphtheria and Tetanus and Pertussis and Haemophilus influenzae and Hepatitis B vaccine,"2, 4, 6 months;",entire,
EUR,ALB,Albania,HepB_Pediatric,Hepatitis B pediatric dose vaccine,birth;,entire,
EUR,ALB,Albania,Influenza_Adult,Influenza adult dose vaccine,,entire,"and adults with chronic conditions, elderly >60 years with chronic conditions, pregnant women, healthcare workers, other risk groups"
EUR,ALB,Albania,Influenza_Pediatric,Influenza pediatric dose vaccine,2-5 years;,entire,and children with chronic conditions
EUR,ALB,Albania,IPV,Inactivated polio vaccine,"2, 4 months;",entire,
EUR,ALB,Albania,MMR,Measles mumps and rubella vaccine,"1, 5 years;",entire,
EUR,ALB,Albania,OPV,Oral polio vaccine,"6 months; 2, 6 years;",entire,
EUR,ALB,Albania,Pneumo_conj,Pneumococcal conjugate vaccine,"2, 4, 12 months;",entire,
EUR,ALB,Albania,Rotavirus,Rotavirus vaccine,"2, 4, 6, months;",entire,from October 2019
EUR,ALB,Albania,Td,Tetanus and diphtheria toxoid for older children / adults vaccube,"14, 18 years;",entire,
AFR,DZA,Algeria,BCG,Bacille Calmette-Guérin vaccine,birth;,entire,
AFR,DZA,Algeria,DT,Tetanus and diphtheria toxoid childrens' dose,6 years;,entire,
AFR,DZA,Algeria,DTaPHibHepBIPV,"Hexavalent diphtheria, tetanus toxoid with acellular pertussis, Hib, hepatitis B and IPV vaccine","2, 4, 12 months;",entire,from September 2019 - surviving infants in 2018
AFR,DZA,Algeria,DTwPHib,Diphtheria and tetanus toxoid with whole cell pertussis and Hib vaccine,"2, 4, 12 months;",entire,surviving infants in 2018
AFR,DZA,Algeria,HepB_Pediatric,Hepatitis B pediatric dose vaccine,"birth; 2, 4, 12 months;",entire,surviving infants in 2018
AFR,DZA,Algeria,Influenza_Adult,Influenza adult dose vaccine,elderly;,entire,"and with chronic illness, pregnant women, helath care workers, résidents vivant dans les établissements de soins, pèlerins ou autre voyageur, autrs groupes à risque"
AFR,DZA,Algeria,Influenza_Pediatric,Influenza pediatric dose vaccine,children;,entire,and with chronic illness
AFR,DZA,Algeria,IPV,Inactivated polio vaccine,3 months;,entire,surviving infants in 2018
AFR,DZA,Algeria,MMR,Measles mumps and rubella vaccine,"11, 18 months;",entire,surviving infants in 2018
AFR,DZA,Algeria,MR,Measles and rubella vaccine,6 years;,entire,1st year primary school students
AFR,DZA,Algeria,OPV,Oral polio vaccine,"birth; 2, 4, 12 months; 6, 11-13 years;",entire,surviving infants in 2018 and 1st year school children
