reporter_WHO_region,Vaccine,avg_price_per_dose,sectoral_score_mean,trade_lib_score_mean,regulatory_score_mean,deal_type_weight_mean,intra_regional_share,deal_count,health_coverage,ipr_coverage,env_coverage,consumer_prot_coverage,innovation_coverage,illicit_drugs_coverage,social_matters_coverage,num_manufacturers,total_annual_volume,log_price
AFRO,BCG,0.254884279,-1.201735202,-1.083808209,-0.987542909,-1.223510468,-0.821893739,-0.555029946,-0.95728354,0.194491786,-0.033806294,-0.726135054,-1.167213189,0,-0.598785597,1.586456584,1.935370058,0.22704336
AFRO,COVID-19,8.8773,-1.201735202,-1.083808209,-0.987542909,-1.223510468,-0.821893739,-0.555029946,-0.95728354,0.194491786,-0.033806294,-0.726135054,-1.167213189,0,-0.598785597,2.769576747,4.054326361,2.290239195
AFRO,DT,0.838403902,-1.201735202,-1.083808209,-0.987542909,-1.223510468,-0.821893739,-0.555029946,-0.95728354,0.194491786,-0.033806294,-0.726135054,-1.167213189,0,-0.598785597,0.107556379,-0.27745131,0.60889775
AFRO,DTaP-HepB-Hib-IPV,22.50178784,-1.201735202,-1.083808209,-0.987542909,-1.223510468,-0.821893739,-0.555029946,-0.95728354,0.194491786,-0.033806294,-0.726135054,-1.167213189,0,-0.598785597,-0.484003703,-0.168849516,3.157076497
AFRO,DTaP-Hib-IPV,9.993568,-1.201735202,-1.083808209,-0.987542909,-1.223510468,-0.821893739,-0.555029946,-0.95728354,0.194491786,-0.033806294,-0.726135054,-1.167213189,0,-0.598785597,-0.779783744,-0.308554404,2.397310375
AFRO,DTaP-IPV,10.91206868,-1.201735202,-1.083808209,-0.987542909,-1.223510468,-0.821893739,-0.555029946,-0.95728354,0.194491786,-0.033806294,-0.726135054,-1.167213189,0,-0.598785597,-0.779783744,-0.300571615,2.477552061
AFRO,DTwP,0.531958753,-1.201735202,-1.083808209,-0.987542909,-1.223510468,-0.821893739,-0.555029946,-0.95728354,0.194491786,-0.033806294,-0.726135054,-1.167213189,0,-0.598785597,-0.188223662,-0.182138412,0.426547147
AFRO,DTwP-HepB,0.862530562,-1.201735202,-1.083808209,-0.987542909,-1.223510468,-0.821893739,-0.555029946,-0.95728354,0.194491786,-0.033806294,-0.726135054,-1.167213189,0,-0.598785597,-0.779783744,-0.256754125,0.62193608
AFRO,DTwP-HepB-Hib,1.093189588,-1.201735202,-1.083808209,-0.987542909,-1.223510468,-0.821893739,-0.555029946,-0.95728354,0.194491786,-0.033806294,-0.726135054,-1.167213189,0,-0.598785597,1.882236624,2.078916342,0.738689022
AFRO,DTwP-Hib,2.824512083,-1.201735202,-1.083808209,-0.987542909,-1.223510468,-0.821893739,-0.555029946,-0.95728354,0.194491786,-0.033806294,-0.726135054,-1.167213189,0,-0.598785597,-0.779783744,-0.292725475,1.341430899
AFRO,HPV2,10.17421953,-1.201735202,-1.083808209,-0.987542909,-1.223510468,-0.821893739,-0.555029946,-0.95728354,0.194491786,-0.033806294,-0.726135054,-1.167213189,0,-0.598785597,-0.779783744,-0.271401975,2.413609297
AFRO,HPV4,7.437110143,-1.201735202,-1.083808209,-0.987542909,-1.223510468,-0.821893739,-0.555029946,-0.95728354,0.194491786,-0.033806294,-0.726135054,-1.167213189,0,-0.598785597,-0.484003703,-0.040213506,2.13263985
